,Product URL,Product Name,Price,Rating,Number of reviews,Description,ASIN,Product Description,Manufacturer
0,https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_1_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&smid=A385M0TPSNV7VS,"Buy URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black at Amazon.in",998,3.9 out of 5,248 with reviews,"Laptop Compatibility: Yes, Laptop size: 15.6 inches Outer Material: Polyester, Color: Black Water Resistance: Water resistant Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH) Warranty type: Manufacturer; 12 months warranty against manufacturing defects",ASIN : B01LXNNFDF,"Ergonomically Designed The Laptop Bag by Urban Tribe is a well structured and ergonomically designed. It is has spacious compartments as well as an anti-clutter mobile phone charging compartment. The bag is very handy and provides comfort to the user. Carry it in style. Extra Charging Compartment The bag has a separate mobile phone charging compartment to give you an anti-clutter experience while you charge your phone. Spacious Compartment The bag has a spacious main compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag. Withstand heavy weight The bag is made of Polyester, making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once.",Manufacturer : Backpack International Pvt Ltd
1,https://www.amazon.in/The-Backpack-Pro-Deep-Dive/dp/B08SWDK9S7/ref=sr_1_2_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,"Buy MOKOBARA The Backpack Pro | Blue Vegan Leather Water Resistant Laptop (15.6"" Laptop Compartment) Work Backpack for Men and Women 21L | 2022 - Model at Amazon.in","5,990",4.4 out of 5,44 with reviews,"Care Instructions: Wipe with Damp Cloth CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Blue, Water resistant: Yes FRONT COMPARTMENT FOR QUICK ACCESS: Keyholder, Card holder, Zipper pocket MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Hidden magnetic passport pocket, Luggage sleeve MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI) Pattern Name: Solid; Strap Type: Cross-Body; Compartment Description: Up To 16 Inches; Color Name: Deep Dive; Warranty Description: 12 Months Warranty; Age Range Description: Adult; Lining Description: Polyester",ASIN : B08SWDK9S7,"Crisp simplicity, loaded with features. This backpack is a win-win. Each detail of the Backpack pro is carefully considered, from its balanced proportions and sleek profile down to the color-matched premium zips. Vegan Leather Facia Crafted with superior vegan leather facia and high-quality water-resistant nylon fabric body. Contoured bottle holder Expandable contoured side pocket that zips out to fit a water bottle or umbrella. Strap length adjustment buckle & lock Padded shoulder straps for shoulder comfort, that come with easy length adjustment buckle and strap lock. Secret pocket Body blended magnetic pocket for passport, boarding pass, and cellphone. Luggage sleeve The built-in luggage sleeve secures to any Mokobara suitcase for a smooth ride.",Manufacturer : Mokobara
2,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-3,Buy American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) at Amazon.in,"1,299",4.1 out of 5,"7,799 with reviews","Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No Outer Material: Polyester, Color: Black Water Resistance: Water resistant , not Waterproof Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters Number of Wheels: 0, Number of compartments: 3 Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of Mesh pockets on both sides to accommodate your sipper or bottle and umbrella Mesh Padding on back & shoulder strap to provide comfort & better back support",B07CJCGM1M,,0.5 Kilograms
3,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) - Buy Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) Online at Low Price in India - Amazon.in,565,4.3 out of 5,"1,122 with reviews","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",B084JGJ8PF,"Ergonomic Contoured Shape With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage! Fits Your Laptop Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches. Strong and Lightweight Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain. Padded Back Straps The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.","Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039"
4,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-5,Buy Skybags Brat Black 46 Cms Casual Backpack at Amazon.in,669,4.1 out of 5,320 with reviews,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",ASIN : B08Z1HHHTD,,Manufacturer : VIP Industries Ltd
5,https://www.amazon.in/dp/B01NAZVN8M?pd_rd_i=B01NAZVN8M&pf_rd_p=dd2aa9b8-d653-4b22-af5d-81cb48e44028&pf_rd_r=TDSZVY1M1MW0C9MHQDW9&pd_rd_wg=J9Itk&pd_rd_w=lUR9J&pd_rd_r=14032ca7-7c28-437d-ae1e-3061042a6167,"Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste : Amazon.in: Health & Personal Care",Price Missing,4.5 out of 5,212 with reviews,"100% OXO-BIODEGRADABLE: The materials used to make these bags are 100% eco-friendly. They are oxo-biodegradable which means that they break down in the open environment like nature’s wastes but quicker and without leaving any toxic residues or plastic fragments behind. TEAR-RESISTANT: Sirona’s ‘I Love Clean’ Disposable Sanitary Bags are made using extra-durable plastic. It has thick double seams to hold your waste in- without ending up with rips and tears. SUPER-SEALED: The Sirona Sanitary Disposal Bags come with built-in glue which seals perfectly. The leak-proof design keeps the bacteria and wetness where it belongs making your surroundings safe and hygienic. MULTIPURPOSE: These oxo-biodegradable bags from Sirona are large enough for the hygienic and sanitary disposal of used feminine hygiene items, baby diapers, adult diapers, wet wipes and the disposable PeeBuddy. ODOUR-LOCK: Lock the smells of your waste in- just stick and seal to cancel out any unpleasant odours that have the possibility of emanating from these disposable bags. This is perfect for when you are travelling and can’t bin the waste.",B01NAZVN8M,"Ideal For I love clean by Sirona are cute disposable sanitary bags and are best for hygienic disposal of intimate care products (Sanitary pads, tampons, panty liners, baby diapers, condoms, peebuddy) or general products (Which need discreet disposal). No more black plastic bags, no more newspaper. Now use I love clean. Easy to Carry The I love clean boxes have been designed to fit conveniently in purse for quick & easy handling. These easy to carry boxes are perfect for travel, daily commute to work etc. Oxo-Degradable/Environmental Friendly Dispose waste the environmental -friendly way now. The I love clean disposal bags by Sirona are made of oxo-biodegradable plastic which degrades abiotically at the end of its useful life in the presence of oxygen much more quickly than ordinary plastic. At the end of that process, it does not therefore leave fragments of plastic in the environment. Tamper Proof Bags with No Leakage The I love clean disposal bags are strong, tamper proof and tear-resistant. With built in glue, these sanitary bags seal perfectly with no leakage. Just press & paste the flap properly for the adhesive to work. Insert Take out I love clean bag from the box and Insert the product to be disposed off from the open end of the bag. Take Off Take off/remove plastic under the flap (For the adhesive to work). Paste Flap Press & paste the flap properly (To protect it from opening). Dispose Dispose off (Please don't flush, throw in a bin).",567 Grams
6,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) - Buy ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) Online at Low Price in India - Amazon.in,499,3.9 out of 5,58 with reviews,Material: Water Resistant Light-Weight Polyester Compartments: 2 with padding; Laptop Size: 15.6 inch and below Dimensions: LxWxH - 12.5 x 7.5 x 19 inches Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders Closure Type: Zipper,ASIN : B09TPX22NF,"DESCRIPTION Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. Highlights Backpack Features Highlights Available in 3 colors",Manufacturer : ADISA
7,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-7,AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs - Buy AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs Online at Low Price in India - Amazon.in,999,3.9 out of 5,126 with reviews,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend. Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack. Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit. Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.",ASIN : B07QN4KXWG,"Contoured padded mesh back panel and shoulder straps for Extra Comfort. It helps to get relief from stress over shoulders while carry heavy weight. It features a dedicated space for up to 15.6” laptop and iPad/tablet with a secure velcro closure. Extra padded layer protects your laptop from major impacts. Main compartment has plenty of space for clothes, wallet, diary, etc. Quick-grab items like your smartphone, passport etc can be stored in this zippered pocket. So you can access it easily. Designed to accommodate tablet, mouse, power adapter & cable,power bank, keys, passport etc. This backpack has mesh pockets on both sides with elastic belt. Umbrella, Water bottles can be easily stored inside this pockets. With leather pull tail, fashionable & novel, keeping up with the current trend. Handle padded with breathable mesh which provides the needed comfort while carrying excessive weight. Adjustable side straps for a better fit. Protects your belongings from getting wet. Mesh Pocket to Keep bottles. Artificial Leather with elegant look, high end finish. Strong fabric lining inside protects from scratches.",Manufacturer : AirCase
8,https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-8,Buy Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Navy Blue) at Amazon.in,510,5 out of 5,1 with review,"Care Instructions: Machine Wash Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more. Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find. Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",ASIN : B0BS6QQZYN,missing,Manufacturer : SHABA BAGS
9,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675319218&sprefix=ba%2Caps%252&sr=8-9,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) : Amazon.in: Bags, Wallets and Luggage",356,4.1 out of 5,725 with reviews,"Made of multi-coated 600D polyester Material ; Water Repellent Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters Small Size backpack; Laptop Compatibility: No This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books 6 months limited warranty",B088XB5XY8,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more. The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute. The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go. Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books.","Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka"
